label,text_split,neg_or_pos
退保条款,"2.2.2 重大疾病豁免保 本附加合同重大疾病豁免保险费保障的疾病范围包括本附加合同所指的重大
险费 疾病，共有135种。疾病病种及定义详见本保险条款附表一。
被保险人在保险期间内因意外或等待期后因非意外的原因在本公司指定或认
可的医疗机构9由专科医生确诊初次发生10本附加合同所列的一种或多种重大
",1
退保条款,"疾病，则自确诊日后首个被豁免合同的保险费约定交纳日开始，至被豁免合
同最后一次保险费约定交纳日止，本公司豁免前述期间内被豁免合同投保人
应交纳的被豁免合同的保险费。被豁免合同继续有效，本附加合同终止。",1
术语解释,"4意外：指外来的、突发的、非本意的、非疾病的使身体受到伤害的客观事件。不包括无明确外来意外伤害导致的后果。
5重大疾病：指符合本附加合同附表一所列的任何一种疾病定义所述条件的疾病。
6中度疾病：指符合本附加合同附表二所列的任何一种疾病定义所述条件的疾病。
7轻度疾病：指符合本附加合同附表三所列的任何",1
术语解释,"一种疾病定义所述条件的疾病。
8确定全残：指至少满足下列情形之一者：
(1)双目永久完全失明的（注①）；
(2)两上肢腕关节以上或两下肢踝关节以上缺失的；
(3)一上肢腕关节以上及一下肢踝关节以上缺失的；
(4)一目永久完全失明及一上肢腕关节以上缺失的；
(5)一目永久完全失明及一下肢踝关节以上缺失",1
术语解释,"的；
(6)四肢关节机能永久完全丧失的（注②）；
(7)咀嚼、吞咽机能永久完全丧失的（注③）；
(8)中枢神经系统机能或胸、腹部脏器机能极度障碍，终身不能从事任何工作，为维持生命必要的日常生活活动，全需他
人扶助的（注④）。
全残的鉴定应在治疗结束之后，由二级以上医院或者由双方认可的其他医疗机构（或",1
术语解释,"鉴定机构）进行。如果自被保险人
遭受意外伤害之日起180日后治疗仍未结束，按第180日的身体情况进行鉴定。",1
责任免除,"2.3.1 身故豁免保险费 因下列任何情形直接或间接导致被保险人身故的，本公司不承担豁免保险费
责任免除 的责任：
（1） 投保人对被保险人故意杀害或故意伤害；
（2） 被保险人故意犯罪以及抗拒依法采取的刑事强制措施；
（3） 被保险人自本附加合同成立或合同效力恢复之日起二年内自杀，但自
杀时无民事",1
责任免除,"行为能力人的除外；
（4） 被保险人服用、吸食或注射毒品12；
（5） 被保险人酒后驾驶13、无合法有效驾驶证驾驶14，或驾驶无合法有效行
驶证15的机动车16；
11疾病终末期阶段：疾病终末期阶段需由专科医生出具诊断证明和提交临床检查证据，证明被保险人所患疾病同时满足以下两
个条件：1.依现有医疗",1
责任免除,"技术无法缓解；2.根据临床医学经验判断被保险人存活期低于六个月。
12毒品：指中华人民共和国刑法规定的鸦片、海洛因、甲基苯丙胺（冰毒）、吗啡、大麻、可卡因以及国家规定管制的其他能
够使人形成瘾癖的麻醉药品和精神药品，但不包括由医生开具并遵医嘱使用的用于治疗疾病但含有毒品成分的处方药品。
13酒后驾驶",1
责任免除,"：指经检测或鉴定，发生事故时车辆驾驶人员每百毫升血液中的酒精含量达到或超过一定的标准，公安机关交通管
理部门依据《道路交通安全法》的规定认定为饮酒后驾驶或醉酒后驾驶。
14无合法有效驾驶证驾驶：指下列任何驾驶情形：（1）没有取得驾驶资格；（2）驾驶与驾驶证准驾车型不相符合的车辆；（3）
持审验不合格",1
责任免除,"的驾驶证驾驶；（4）持学习驾驶证学习驾车时，无教练员随车指导，或不按指定时间、路线学习驾车。
15无合法有效行驶证：指下列任何情形：（1）未取得行驶证；（2）机动车被依法注销登记的；（3）未依法按时进行或通过",1
责任免除,"6） 核爆炸、核辐射或核污染；
（7） 战争17、军事冲突18、恐怖主义活动19、暴乱20或武装叛乱；
（8） 被保险人感染艾滋病病毒或患艾滋病21（但符合本附加合同“器官移
植导致的人类免疫缺陷病毒（HIV）感染”、“经输血导致的人类免
疫缺陷病毒（HIV）感染”及“特定职业导致的人类免疫缺陷病毒",1
责任免除,"（HIV）
感染”定义的不在此限）。
发生上述第（1）项情形导致被保险人身故的，本附加合同终止，本公司向投
保人以外的被保险人的法定继承人退还本附加合同终止时的现金价值；发生
上述其他情形导致被保险人身故或确定全残的，本附加合同终止，本公司向
投保人退还本附加合同终止时的现金价值。
2.3.2 除身",1
责任免除,"故或外其他 因下列任何情形直接或间接导致被保险人发生本附加合同列明的重大疾病、
豁免保险费责任 中度疾病、轻度疾病、全残或达到疾病终末期阶段的，本公司不承担豁免保
免除 险费的责任：
（1） 投保人对被保险人故意杀害或故意伤害；
（2） 被保险人故意犯罪或抗拒依法采取的刑事强制措施；
（3） 被保险",1
责任免除,"人故意自伤、或自本附加合同成立或者本附加合同效力恢复之
日起二年内自杀，但被保险人自杀时为无民事行为能力人的除外；
（4） 被保险人服用、吸食或注射毒品；
（5） 被保险人酒后驾驶、无合法有效驾驶证驾驶，或驾驶无合法有效行驶
证的机动车；
（6） 核爆炸、核辐射或核污染；
（7） 被保险人遗传性疾病",1
责任免除,"22，先天性畸形、变形或染色体异常23；
（8） 被保险人感染艾滋病病毒或患艾滋病（但符合本附加合同“器官移植
导致的人类免疫缺陷病毒（HIV）感染”、“经输血导致的人类免疫
缺陷病毒（HIV）感染”及“特定职业导致的人类免疫缺陷病毒（HIV）
感染”定义的不在此限）；
机动车安全技术检验。
16机",1
责任免除,"动车：指以动力装置驱动或者牵引，上道路行驶的供人员乘用或者用于运送物品以及进行工程专项作业的轮式车辆。
17战争：指国家与国家、民族与民族、政治集团与政治集团之间为了一定的政治、经济目的而进行的武装斗争，以政府宣布为
准。
18军事冲突：指国家或民族之间在一定范围内的武装对抗，以政府宣布为准。
19",1
责任免除,"恐怖主义活动：指以制造社会恐慌、危害公共安全或胁迫国家机关、国际组织为目的，采取暴力、破坏、恐吓等手段，造成
或意图造成人员伤亡、重大财产损失、公共设施损坏、社会秩序混乱等严重社会危害的行为，以及煽动、资助或以其他方式
协助实施上述活动的行为。
20暴乱：指破坏社会秩序的武装骚动，以政府宣布为准。
",1
责任免除,"21感染艾滋病病毒或患艾滋病： 艾滋病毒指人类免疫缺陷病毒，英文缩写为HIV。艾滋病指人类免疫缺陷病毒引起的获得性
人类免疫缺陷综合征，英文缩写为AIDS。在人体血液或其他样本中检测到艾滋病毒或其抗体呈阳性，没有出现临床症状或体
征的，为感染艾滋病病毒； 如果同时出现了明显临床症状或体征的，为患艾滋",1
责任免除,"病。
22遗传性疾病：指生殖细胞或受精卵的遗传物质（染色体和基因）发生突变或畸变所引起的疾病，通常具有由亲代传至后代的
垂直传递的特征。
23先天性畸形、变形或染色体异常：指被保险人出生时就具有的畸形、变形或染色体异常。先天性畸形、变形和染色体异常依
照世界卫生组织《疾病和有关健康问题的国际统计分类",1
责任免除,》第十次修订版（ICD-10）确定。,1
投保条款,"保险费交纳
4.1 保险费的交纳 本附加合同的交费方式和交费期间由投保人和本公司约定，并在保单上载明。
分期支付保险费的，在交纳首期保险费后，投保人应当在每个保险费的约定
交纳日交纳其余各期保险费。
4.2 宽限期 分期支付保险费的，投保人在支付首期保费后，除本附加合同另有约定外，
若到期未支付保险",1
投保条款,"费，自保险费的约定交纳日的次日零时起60日为宽限期。
宽限期内发生保险事故的，在投保人补交本附加险合同以及被豁免合同当期
应付保险费后，本公司仍会承担保险责任。
若投保人在宽限期结束后仍未支付保险费，则本附加合同自宽限期满次日零
时起中止，本公司不再承担保险责任。
5
现金价值权益
5.1 现金价值",1
投保条款," 本附加合同保单年度末的现金价值会在保险合同中载明，保单年度之内的现
金价值可向本公司查询。
6
合同中止和复效",1
退保条款,"合同解除
7.1 解除合同的手续 本附加合同成立后，投保人可申请解除合同。
及风险
投保人申请解除本附加合同时，应当向本公司送达：
（1）解除合同申请书；
（2）本附加合同；
（3）投保人有效身份证件。
本附加合同的效力至本公司接到解除合同申请书之日的次日零时或解除合同
申请书上载明的合同终止时间（",1
退保条款,"二者中以较晚者为准）终止。本公司自收到
完整的证明和资料之日起30日内向投保人退还本附加合同的现金价值。
投保人在犹豫期后解除合同会遭受一定损失。",1
责任免除,"7 多个肢体缺失 指因疾病或意外伤害导致两个或两个以上肢体自腕关节或踝关节近端（靠近
躯干端）以上完全性断离。
8 急性重症肝炎或 指因肝炎病毒感染引起肝脏组织弥漫性坏死，导致急性肝功能衰竭，且经血
亚急性重症肝炎 清学或病毒学检查证实，并须满足下列全部条件：
（1） 重度黄疸或黄疸迅速加重；
（2",1
责任免除,"） 肝性脑病；
（3） B超或其它影像学检查显示肝脏体积急速萎缩；
（4） 肝功能指标进行性恶化。
9 严重非恶性颅内 指起源于脑、脑神经、脑被膜的非恶性肿瘤，ICD-0-3肿瘤形态学编码属于0
肿瘤 （良性肿瘤）、1（动态未定性肿瘤）范畴，并已经引起颅内压升高或神经系
统功能损害，出现视乳头水肿或",1
责任免除,"视觉受损、听觉受损、面部或肢体瘫痪、癫
痫等，须由头颅断层扫描（CT）、核磁共振检查（MRI）或正电子发射断层扫
描（PET）等影像学检查证实，且必须满足下列至少一项条件：
（1） 已经实施了开颅进行的颅内肿瘤完全或部分切除手术；
（2） 已经实施了针对颅内肿瘤的放射治疗，如γ刀、质子重离子治疗等。",1
责任免除,"
下列疾病不在保障范围内：
（1） 脑垂体瘤；
（2） 脑囊肿；
（3） 颅内血管性疾病（如脑动脉瘤、脑动静脉畸形、海绵状血管瘤、毛细血
管扩张症等）。
10 严重慢性肝衰竭 指因慢性肝脏疾病导致的肝衰竭，且须满足下列全部条件：
（1） 持续性黄疸；
（2） 腹水；
（3） 肝性脑病；
（4） 充血",1
责任免除,"性脾肿大伴脾功能亢进或食管胃底静脉曲张。
因酗酒或药物滥用导致的肝衰竭不在保障范围内。
11 严重脑炎后遗症 指因患脑炎或脑膜炎导致的神经系统永久性的功能障碍。神经系统永久性的
或严重脑膜炎后 功能障碍指经相关专科医生确诊疾病180天后，仍遗留下列至少一种障碍：
遗症
（1） 一肢（含）以上肢体肌力",1
责任免除,"2级（含）以下；
（2） 语言能力完全丧失，或严重咀嚼吞咽功能障碍；
（3） 由具有评估资格的专科医生根据临床痴呆评定量表（CDR，Clinical
Dementia Rating）评估结果为3分；
（4） 自主生活能力完全丧失，无法独立完成六项基本日常生活活动中的三项
或三项以上。
12 深度昏迷",1
责任免除," 指因疾病或意外伤害导致意识丧失，对外界刺激和体内需求均无反应，昏迷
程度按照格拉斯哥昏迷分级（GCS，Glasgow Coma Scale）结果为5分或5分
以下，且已经持续使用呼吸机及其它生命维持系统96小时以上。因酗酒或药
物滥用导致的深度昏迷不在保障范围内。",1
基础产品销售信息,"君龙安享守护B款重大疾病保险（互联网） 君龙人寿保险有限公司
君龙人寿[2025]疾病保险011号",1
赔付 & 领取规则,"君先生，30周岁时为自己投保君龙安享守护B款重大疾病保险（互联网）,仅投保必选责任，基
本保险金额500,000元，保障期间为终身，交费期为30年，君龙安享守护B款重大疾病保险（互联网）
年交保险费6,895元。
本例中君先生为投保人、被保险人及重大疾病保险金、重大疾病互动保险金、中度疾病保险金、轻",1
赔付 & 领取规则,"度
疾病保险金的受益人，君龙人寿保险有限公司为保险人。
保险金 领取人 给付金额 领取条件
重大疾病保险金 君先生 500,000元
重大疾病互动保险金 君先生 50,000元
详见条款中保险责任部分
中度疾病保险金 君先生 300,000元/次, 累计给付3次为限
轻度疾病保险金 君先生 150,",1
赔付 & 领取规则,"000元/次, 累计给付5次为限",1
保障相关时间,".2 保险合同成立 您提出保险申请、我们同意承保，本合同成立。
与生效 合同生效日期在保险单上载明。保单年度1、保险费约定支付日2均以该日期
计算。
1.3 犹豫期 自您收到本合同电子保险单次日起(该次日为犹豫期首日)，有15日的犹豫
期。在此期间，请您认真审视本合同，如果您认为本合同与您的需求不相",1
保障相关时间,"
符，您可以在此期间提出解除本合同，我们将无息退还您所交纳的保险费。
解除合同时，您需要以我们认可的方式提交申请，经我们核实您的身份信息
及与我们的保险合同关系后，我们为您办理犹豫期内退保。您提交申请解除
合同之日起，本合同即被解除，我们自本合同生效日起不承担保险责任。
1.4 犹豫期后解除 如您在",1
保障相关时间,"犹豫期后申请解除保险合同，您需要以我们认可的方式提交申请，经
合同（退保） 我们核实您的身份信息及与我们的保险合同关系后，我们为您办理退保。您
的手续及风险 提交申请解除合同之日起，本合同终止。我们自收到解除合同申请书之日起
30日内向您退还保险合同的现金价值3。
您犹豫期后解除合同会遭受一定损失。",1
保障责任,"2.1 保险金额 保险金额是本公司承担给付保险金责任的最高限额。本公司将按照本合同关
1 保单年度：从保险合同生效日或生效对应日零时起至下一年度保险合同生效对应日零时止为一个保单年度。此处生效对
应日是指保险合同生效日在每年的对应日，如果该保单年度末无对应的同一日，则以该保单年度末最后一日为对应日。",1
保障责任,"
2 保险费约定支付日：保险合同生效日在每月、每季、每半年或每年（根据支付方式确定）的对应日。如果当月无对应的
同一日，则以该月最后一日为对应日。
3 现金价值：指保险合同所具有的价值，通常体现为解除合同时，根据精算原理计算的，由我们退还的那部分金额",1
保障责任,"2.2 基本保险金额 本合同的基本保险金额由您在投保时与我们约定，并在保险单上载明。如该
金额有所变更，以变更后的基本保险金额为准。
2.3 未成年人身故 为未成年子女投保的人身保险，因被保险人身故给付的保险金总和不得超过
保险金限制 国务院保险监督管理机构规定的限额，身故给付的保险金额总和约定也不",1
保障责任,"得
超过前述限额。",1
保障相关时间,2.5 等待期 从本合同生效（或复效）之日起的180天内为等待期。,1
保障责任,"2.6 保险责任 本合同保险期间内，我们承担下列保险责任：
2.6.1 必选责任
重大疾病保险 被保险人因意外伤害或于等待期后因意外伤害以外的原因初次发生并经医院
金 专科医生明确诊断确定罹患本合同约定的重大疾病（无论一种或多种），我
们将根据本合同的基本保险金额向重大疾病保险金受益人给付“重大疾病",1
保障责任,"保
险金”。
我们给付重大疾病保险金后，本项保险责任终止。本合同的现金价值降为
零，并豁免本主险自首次重大疾病确诊之日以后各期的期交保险费，被豁免
的保险费视为已交纳，但不包含被保险人确诊之日之前所欠交的保险费及利
息，同时“身故或全残保险金”（若投保时选择投保）责任终止，即我们不
再承担“身故或全",1
保障责任,"残保险金”（若投保时选择投保）责任。
我们给付重大疾病保险金后，重大疾病保险金所对应的重大疾病同组（分组
请参见【附表3】《重大疾病、中度疾病及轻度疾病除外对应表》）的中度
疾病、轻度疾病责任终止，即我们不承担且不再承担该种中度疾病的中度疾
病保险金、中度疾病住院津贴保险金（若投保时选择投保）、中度",1
保障责任,"疾病或轻
度疾病豁免保险费（若投保时选择投保）、与该种轻度疾病的轻度疾病保险
金、轻度疾病住院津贴保险金（若投保时选择投保）、中度疾病或轻度疾病
豁免保险费（若投保时选择投保）。
重大疾病互动 满足下列所有条件并经我们审核通过后，自下一保单周年日12起，若被保险
保险金 人因意外伤害或于等待期后因意",1
保障责任,"外伤害以外的原因初次发生并经医院专科医
生明确诊断确定罹患本合同约定的重大疾病（无论一种或多种），我们将根
据本合同的基本保险金额的10%向重大疾病互动保险金受益人给付“重大疾
病互动保险金”，给付后本项责任终止。",1
责任免除,"若被保险人未提出申请、审核未通过或被保险人故意或者因重大过失不履行
本项责任约定的如实告知义务，我们不承担给付“重大疾病互动保险金”的
责任。",1
赔付 & 领取规则,"中度疾病保险 被保险人因意外伤害或于等待期后因意外伤害以外的原因初次发生并经医院
金 专科医生明确诊断确定罹患本合同约定的中度疾病（无论一种或多种），我
们将根据本合同的基本保险金额的60%向中度疾病保险金受益人给付“中度
疾病保险金”。
每种中度疾病只给付一次中度疾病保险金，给付后该种中度疾病保险",1
赔付 & 领取规则,"责任终
止。本合同中度疾病保险金累计给付次数以三次为限。当累计给付次数达到
三次时，中度疾病保险金责任终止。
如果被保险人因同一疾病原因、同次医疗行为或同次意外伤害事故导致其发
生本合同所指的两种或者两种以上的中度疾病，我们仅按一种中度疾病给付
“中度疾病保险金”。
如果被保险人因同一疾病原因、同次",1
赔付 & 领取规则,"医疗行为或同次意外伤害事故导致其发
生本合同所指的中度疾病（无论一种或多种）和重大疾病（无论一种或多
种），被保险人确诊中度疾病时已经符合重大疾病保险金的给付条件，我们
仅按一种重大疾病给付“重大疾病保险金”，不再针对此次保险事故14给付
“中度疾病保险金”。
轻度疾病保险 被保险人因意外伤害或于等",1
赔付 & 领取规则,"待期后因意外伤害以外的原因初次发生并经医院
金 专科医生明确诊断确定罹患本合同约定的轻度疾病（无论一种或多种），我
们将根据本合同的基本保险金额的30%向轻度疾病保险金受益人给付“轻度
疾病保险金”。",1
赔付 & 领取规则,"的重大疾病（无论一种或多种），我们将根据再次确诊重大疾病时本合同的
基本保险金额的100%向第二次重大疾病保险金受益人给付“第二次重大疾病
保险金”，本项保险责任终止。
若被保险人因意外伤害或于等待期后因意外伤害以外的原因在年满六十周岁
后的首个保单周年日之前（不含当日）初次发生并经医院专科医生明确",1
赔付 & 领取规则,"诊断
确定罹患本合同约定的重大疾病（无论一种或多种）且我们已按本合同约定
给付重大疾病保险金的，自前述重大疾病确诊之日起满1095天后，再次经医
院专科医生明确诊断确定罹患初次确诊的重大疾病（无论一种或多种），我
们将根据再次确诊重大疾病时本合同的基本保险金额的100%向第二次重大疾
病保险金受益人",1
赔付 & 领取规则,给付“第二次重大疾病保险金”，本项保险责任终止,1
基础产品销售信息,"人保寿险[2024]疾病保险050号
人保寿险 i 无忧 3.0 重大疾病保险（互联网专属）",1
保障责任,"我们提供的保障
计划1：①第一次重大疾病保险金 ②重大疾病豁免保险费
计划2：①第一次重大疾病保险金 ②身故保险金
③重大疾病豁免保险费
计划3：①第一次重大疾病保险金 ②中症疾病保险金
基本部分
③轻症疾病保险金 ④豁免保险费
保障责任 计划4：①第一次重大疾病保险金 ②中症疾病保险金
③轻症疾病",1
保障责任,"保险金 ④身故保险金
⑤豁免保险费",1
保障相关时间,"犹豫期：自您签收本合同之日起，有 15 日的犹豫期。在此期间请您认真审视本合同，如
15 日
果您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将退还您所支
付的全部保险费。解除本合同时，您需要填写解除合同通知书，并提供您的保险合同及有
效身份证件。自我们收到您解除合同的通知书时，本",1
保障相关时间,"合同即被解除，合同解除前发生的保
险事故我们不承担保险责任。
等待期：自本合同生效（或最后复效）之日起90日内，被保险人因意外伤害以外的原因，
90 日
被确诊患有本合同约定的重大疾病、中症疾病、轻症疾病或发生身故的，我们不承担保险
责任，这90日的时间称为等待期。被保险人因意外伤害发生上述情形的，",1
保障相关时间,"无等待期。
宽限期：除另有约定外，分期支付保险费的，您支付首期保险费后，如果您到期未支付保
60 日
险费，自保险费约定支付日的次日零时起 60 日为宽限期。宽限期内发生的保险事故，我
们仍会承担保险责任，但在给付保险金时会扣减您欠交的保险费。除另有约定外，如果您
宽限期结束之时仍未支付保险费，则本",1
保障相关时间,合同自宽限期满的次日零时起效力中止。,1
保障相关时间,"1.2 合同成立与 您提出保险申请且我们同意承保，本合同成立。本合同成立日期在保险单上载明。
生效 本合同成立、我们收取首期保险费并签发保险单为本合同的生效条件。本合同生效
日期在保险单上载明。保单生效对应日1、保单年度2、保险费约定支付日3均以该
日期计算。
除另有约定外，我们自本合同生效日零时开",1
保障相关时间,始承担保险责任,1
基础产品销售信息,"1.1 合同构成 人保寿险i无忧3.0重大疾病保险（互联网专属）合同（以下简称本合同）由本保
险条款、保险单或其他保险凭证、投保单、与本合同有关的投保文件、声明、批注、
批单以及与本合同有关的其他书面材料共同构成。",1
保障相关时间,"保险期间 本合同的保险期间自本合同生效日零时起算，分为20年、30年、至被保险人年满
70周岁4后的首个保单年生效对应日零时止和被保险人终身共四种。保险期间由您
在投保时与我们约定，并在保险单上载明。",1
保障相关时间,"等待期 自本合同生效（或最后复效）之日起90日内，被保险人因意外伤害5以外的原因，
被确诊患有本合同约定的重大疾病6、中症疾病7、轻症疾病8或发生身故的，我们不
承担保险责任，这90日的时间称为等待期。被保险人因意外伤害发生上述情形的，",1
术语解释,"1 保单生效对应日：本合同生效日每年（或半年、季、月）的对应日为保单年（或半年、季、月）生效对应日。若当月
无对应的同一日，则以该月最后一日为保单生效对应日。保单年生效对应日也叫保单周年日，不含合同生效日当日。
保单年生效对应日举例：假设保单生效日为2024年1月1日，则以后每年1月1日为保单年生效",1
术语解释,"对应日。其中，2025
年1月1日为第1个保单年生效对应日，2026年1月1日为第2个保单年生效对应日，2027年1月1日为第3个保单
年生效对应日，依次类推。
2 保单年度：指从保险合同生效日或保单周年日零时起至下一年度保险合同保单周年日零时止的期间为一个保单年度。
3 保险费约定支付日：分期支付",1
术语解释,"保险费的，首期保险费后的年交、半年交、季交或月交保险费约定支付日分别为本合同
的保单年生效对应日、半年生效对应日、季生效对应日或月生效对应日。
4 周岁：指按有效身份证件中记载的出生日期计算的年龄，自出生之日起为0周岁，每经过一年增加一岁，不足一年的
不计。
5 意外伤害：指外来的、突发的、非本意的",1
术语解释,"、非疾病的使身体受到伤害的客观事件，猝死不属于意外伤害。猝死指外表
看似健康的人因潜在疾病、机能障碍或其他原因在出现症状后24小时内发生的非暴力性突然死亡，以医疗机构的诊断
或公安、司法机关的鉴定为准。",1
保障责任,"保障计划 本合同基本部分分为四项计划，四项计划具体责任如下：
计划1保险责任包含第一次重大疾病保险金和重大疾病豁免保险费；
计划2保险责任包含第一次重大疾病保险金、身故保险金和重大疾病豁免保险费；
计划3保险责任包含第一次重大疾病保险金、中症疾病保险金、轻症疾病保险金和
豁免保险费；
计划4保险责任",1
保障责任,包含第一次重大疾病保险金、中症疾病保险金、轻症疾病保险金、,1
赔付 & 领取规则,"第一次重大 若您投保本合同基本部分的任意一项计划，被保险人于等待期后经我们认可的医院
疾病保险金 10确诊初次患有11本合同约定的重大疾病（一种或多种），我们按基本保险金额给
付第一次重大疾病保险金。",1
赔付 & 领取规则,"您投保的本合同可选部分2、可选部分3的保险责任均终止。
重大疾病豁 若您投保本合同基本部分的计划1或计划2，被保险人于等待期后经我们认可的医
免保险费 院确诊初次患有本合同约定的重大疾病（一种或多种），我们豁免被保险人重大疾
病确诊之日以后本合同的各期保险费。
已获豁免保险费的保险合同，其权益与正常",1
赔付 & 领取规则,"交费的保险合同相同。
中症疾病保 若您投保本合同基本部分的计划3或计划4，被保险人于等待期后经我们认可的医
险金 院确诊初次患有本合同约定的中症疾病（一种或多种），且此前未确诊患有本合同
约定的重大疾病（一种或多种），我们按基本保险金额的 60%给付中症疾病保险
金。",1
投保条款,"已交的本合同保险费：按照本合同基本保险金额（若该金额发生变更，则以变更后的金额为准）确定的期交保险费和
已支付保险费的期数计算。",1
术语解释,"我们认可的医院：指国家《医院分级管理标准》中的二级或二级以上的医院。不包括康复医院或康复病房、精神病院、
疗养院、护理院、戒酒或戒毒中心、精神心理治疗中心、急诊或门诊观察室、无相应医护人员或设备的二级或三级医
院的联合医院或联合病房。若我们有指定，则指我们指定的医院。
11 确诊初次患有：指自被保险",1
术语解释,"人出生之日起经我们认可的医院确诊第一次患有某种疾病，而不是指自本合同生效、复效
之后经我们认可的医院确诊第一次患有某种疾病。",1
赔付 & 领取规则,"本合同的中症疾病保险金累计给付以三次为限，每种中症疾病限给付一次，当累计
给付的中症疾病保险金达到三次时，本项保险责任终止。
若被保险人因同一原因导致其经我们认可的医院确诊初次患有本合同约定的两种
或两种以上的中症疾病，我们仅按一种中症疾病给付中症疾病保险金。
若申请中症疾病保险金时被保险人所患疾病",1
赔付 & 领取规则,"已满足第一次重大疾病保险金给付条
件，我们将给付第一次重大疾病保险金，不再给付中症疾病保险金。",1
赔付 & 领取规则,"轻症疾病保 若您投保本合同基本部分的计划3或计划4，被保险人于等待期后经我们认可的医
险金 院确诊初次患有本合同约定的轻症疾病（一种或多种），且此前未确诊患有本合同
约定的重大疾病（一种或多种），我们按基本保险金额的30%给付轻症疾病保险金。
本合同的轻症疾病保险金累计给付以五次为限，每种轻症疾病限",1
赔付 & 领取规则,"给付一次，当累计
给付的轻症疾病保险金达到五次时，本项保险责任终止。",1
赔付 & 领取规则,"若申请轻症疾病保险金时被保险人所患疾病已满足中症疾病保险金给付条件，但未
满足第一次重大疾病保险金给付条件，我们将给付中症疾病保险金，不再给付轻症
疾病保险金。若申请轻症疾病保险金时被保险人所患疾病已满足第一次重大疾病保
险金给付条件，我们将给付第一次重大疾病保险金，不再给付轻症疾病保险金。
身故保",1
赔付 & 领取规则,"险金 若您投保本合同基本部分的计划2或计划4，被保险人于等待期后身故，我们按以
下金额给付身故保险金，本合同终止。",1
赔付 & 领取规则,"本合同的重大疾病扩展保险金给付期按如下方法确定：
（1）若本合同的保险期间为20年或30年，则本合同的重大疾病扩展保险金给付
期与保险期间一致；
（2）若本合同的保险期间为至被保险人年满70周岁后的首个保单年生效对应日零
时止或被保险人终身，则本合同的重大疾病扩展保险金给付期为至被保险人
年满60周",1
赔付 & 领取规则,岁后的首个保单年生效对应日零时止。,1
赔付 & 领取规则,"重度恶性肿 我们给付第一次重大疾病保险金后，若被保险人第一次重大疾病为本合同约定的
瘤扩展保险 “恶性肿瘤——重度”，则自该“恶性肿瘤——重度”确诊之日起3年后，若被保
金 险人处于“恶性肿瘤——重度”状态，我们按基本保险金额的120%给付重度恶性
肿瘤扩展保险金，本项保险责任终止。
我们给付第一次",1
赔付 & 领取规则,"重大疾病保险金后，若被保险人第一次重大疾病为本合同约定的除
“恶性肿瘤——重度”以外的重大疾病（一种或多种），则自该重大疾病确诊之日
起180日后，若被保险人经我们认可的医院确诊初次患有本合同约定的“恶性肿瘤
——重度”，我们按基本保险金额的120%给付重度恶性肿瘤扩展保险金，本项保
险责任终止。",1
